Latitude: 47.2731182, Longitude: 11.3460995, Information Type: guidepost, Reference: N/A
Latitude: 47.2727888, Longitude: 11.3475727, Information Type: guidepost, Reference: N/A
Latitude: 47.2821322, Longitude: 11.3858941, Information Type: guidepost, Reference: N/A
Latitude: 47.2811125, Longitude: 11.3853567, Information Type: guidepost, Reference: N/A
Latitude: 47.2801975, Longitude: 11.3892093, Information Type: guidepost, Reference: N/A
Latitude: 47.2454013, Longitude: 11.3961985, Information Type: guidepost, Reference: N/A
Latitude: 47.2486669, Longitude: 11.4141747, Information Type: guidepost, Reference: N/A
Latitude: 47.2501557, Longitude: 11.3516296, Information Type: guidepost, Reference: N/A
Latitude: 47.2773562, Longitude: 11.3622829, Information Type: guidepost, Reference: N/A
Latitude: 47.2710539, Longitude: 11.3657544, Information Type: guidepost, Reference: N/A
Latitude: 47.2757454, Longitude: 11.3514979, Information Type: guidepost, Reference: N/A
Latitude: 47.2468429, Longitude: 11.4078755, Information Type: guidepost, Reference: N/A
Latitude: 47.2490305, Longitude: 11.4154728, Information Type: guidepost, Reference: N/A
Latitude: 47.2725331, Longitude: 11.3575606, Information Type: guidepost, Reference: N/A
Latitude: 47.2742182, Longitude: 11.3541612, Information Type: guidepost, Reference: N/A
Latitude: 47.2756819, Longitude: 11.3526149, Information Type: guidepost, Reference: N/A
Latitude: 47.2759260, Longitude: 11.3542188, Information Type: guidepost, Reference: N/A
Latitude: 47.2730854, Longitude: 11.3324092, Information Type: guidepost, Reference: N/A
Latitude: 47.2750781, Longitude: 11.3369304, Information Type: guidepost, Reference: N/A
Latitude: 47.2737205, Longitude: 11.3277157, Information Type: guidepost, Reference: N/A
Latitude: 47.2980070, Longitude: 11.3905169, Information Type: guidepost, Reference: N/A
Latitude: 47.2783865, Longitude: 11.3501892, Information Type: guidepost, Reference: N/A
Latitude: 47.2765717, Longitude: 11.3529740, Information Type: guidepost, Reference: N/A
Latitude: 47.2818639, Longitude: 11.3694862, Information Type: guidepost, Reference: N/A
Latitude: 47.2803862, Longitude: 11.3711414, Information Type: guidepost, Reference: N/A
Latitude: 47.3031892, Longitude: 11.4110164, Information Type: guidepost, Reference: N/A
Latitude: 47.2720726, Longitude: 11.3583438, Information Type: guidepost, Reference: N/A
Latitude: 47.2723497, Longitude: 11.3627232, Information Type: guidepost, Reference: N/A
Latitude: 47.2944066, Longitude: 11.4166503, Information Type: guidepost, Reference: N/A
Latitude: 47.2930254, Longitude: 11.4303571, Information Type: guidepost, Reference: N/A
Latitude: 47.2794255, Longitude: 11.3816717, Information Type: guidepost, Reference: N/A
Latitude: 47.2741232, Longitude: 11.3830148, Information Type: guidepost, Reference: N/A
Latitude: 47.2733613, Longitude: 11.3846177, Information Type: guidepost, Reference: N/A
Latitude: 47.2733311, Longitude: 11.3849882, Information Type: guidepost, Reference: N/A
Latitude: 47.2804200, Longitude: 11.3833614, Information Type: guidepost, Reference: N/A
Latitude: 47.2795975, Longitude: 11.3892281, Information Type: guidepost, Reference: N/A
Latitude: 47.2782477, Longitude: 11.3883088, Information Type: guidepost, Reference: N/A
Latitude: 47.2836315, Longitude: 11.4143108, Information Type: guidepost, Reference: N/A
Latitude: 47.2854929, Longitude: 11.4165558, Information Type: guidepost, Reference: N/A
Latitude: 47.2876676, Longitude: 11.3956634, Information Type: guidepost, Reference: N/A
Latitude: 47.2917851, Longitude: 11.3806102, Information Type: guidepost, Reference: N/A
Latitude: 47.2914340, Longitude: 11.3737491, Information Type: guidepost, Reference: N/A
Latitude: 47.2915911, Longitude: 11.3737575, Information Type: guidepost, Reference: N/A
Latitude: 47.2844235, Longitude: 11.3947957, Information Type: guidepost, Reference: N/A
Latitude: 47.2900282, Longitude: 11.3954139, Information Type: guidepost, Reference: N/A
Latitude: 47.2900216, Longitude: 11.3926174, Information Type: guidepost, Reference: N/A
Latitude: 47.2700236, Longitude: 11.3593630, Information Type: guidepost, Reference: N/A
Latitude: 47.2728124, Longitude: 11.3560478, Information Type: guidepost, Reference: N/A
Latitude: 47.2741855, Longitude: 11.3559942, Information Type: guidepost, Reference: N/A
Latitude: 47.2764926, Longitude: 11.3567050, Information Type: guidepost, Reference: N/A
Latitude: 47.2795420, Longitude: 11.3589983, Information Type: guidepost, Reference: N/A
Latitude: 47.2757629, Longitude: 11.3491559, Information Type: guidepost, Reference: N/A
Latitude: 47.2758761, Longitude: 11.3488796, Information Type: guidepost, Reference: N/A
Latitude: 47.2160548, Longitude: 11.4421400, Information Type: guidepost, Reference: N/A
Latitude: 47.2166842, Longitude: 11.4404275, Information Type: guidepost, Reference: N/A
Latitude: 47.2174854, Longitude: 11.4313207, Information Type: guidepost, Reference: N/A
Latitude: 47.2187914, Longitude: 11.4336049, Information Type: guidepost, Reference: N/A
Latitude: 47.2190626, Longitude: 11.4339888, Information Type: guidepost, Reference: N/A
Latitude: 47.2191505, Longitude: 11.4307407, Information Type: guidepost, Reference: N/A
